data_source,scraped_time,name,organization_type,company_name,position
https://www.parliament.gh/mps?mp=176,2017-10-17 16:54:17.546728,HARDI TUFEIRU MOHAMMED,,TAMALE TECHNICAL UNIVERSITYLECTURER,HEAD OF AUDIT
https://www.parliament.gh/mps?mp=174,2017-10-17 16:54:17.773005,ALIMA  MAHAMA,,SELF EMPLOYEDMINISTER OF STATE AND MEMBER OF PARLIAMENT,INDEPENDENT CONSULTANT
https://www.parliament.gh/mps?mp=177,2017-10-17 16:54:17.838456,JOSEPH KOFI ADDA,,OMNI CONSULTING DIRECTOR,DIRECTOR
https://www.parliament.gh/mps?mp=170,2017-10-17 16:54:18.596606,ALEX KOFI AGYEKUM,, CAPE COAST,ASSIST. HEAD
https://www.parliament.gh/mps?mp=180,2017-10-17 16:54:37.446143,KWASI BOATENG ADJEI,,PARLIAMENT OF GHANAMANAGING HEAD,MEMBER OF PARLIAMENT
https://www.parliament.gh/mps?mp=181,2017-10-17 16:54:45.195338,MARK  ASSIBEY-YEBOAH,,PARLIAMENT OF GHANALECTURER,MEMBER OF PARLIAMENT
https://www.parliament.gh/mps?mp=182,2017-10-17 16:54:47.054787,KENNEDY KWASI KANKAM,,KEKKA COMPANY LTD,MANAGING DIRECTOR
https://www.parliament.gh/mps?mp=183,2017-10-17 16:54:47.452908,SAMUEL NARTEY GEORGE,,OFFICE OF THE PRESIDENTASSISTANT DIRECTOR,COMMUNICATIONS SPECIALIST
https://www.parliament.gh/mps?mp=185,2017-10-17 16:54:52.958474,DEREK  ODURO,,AKOSAS BUSINESS COLLEGEARMY OFFICER,BURSAR
https://www.parliament.gh/mps?mp=186,2017-10-17 16:54:56.834022,CHARLES  KONADU-YIADOM,,BRITE LIFE MICRO FINANCE,DIRECTOR
https://www.parliament.gh/mps?mp=187,2017-10-17 16:54:57.176746,JOHN KWABENA BLESS OTI,,SELF,CEO
https://www.parliament.gh/mps?mp=184,2017-10-17 16:54:57.316574,ERIC KWAKYE DARFOUR,,ECOVANS LTDM.P,M.D
https://www.parliament.gh/mps?mp=188,2017-10-17 16:55:08.331593,GEOFFREY  KINI,,FRICOM ENTERPRISE,MANAGING DIRECTOR
https://www.parliament.gh/mps?mp=189,2017-10-17 16:55:09.190729,JOYCELYN  TETTEH,,MISSIONS MEDICAL RELIEF,ADMINISTRATOR
https://www.parliament.gh/mps?mp=191,2017-10-17 16:55:10.616585,FRANK  ANNOH-DOMPREH,,PARLIAMENT OF GHANA,MEMBER OF PARLIAMENT
https://www.parliament.gh/mps?mp=190,2017-10-17 16:55:12.379894,SAMUEL OKUDZETO ABLAKWA,,GOVERNMENT OF GHANADEP. MINISTER OF EDUCATION,DEP. MINISTER OF INFORMATION
https://www.parliament.gh/mps?mp=192,2017-10-17 16:55:21.094146,KWAME ASAFU ADJEI,,MINISTRY OF FOOD AND AGRICULTURECEO,DEPUTY DIRECTOR
https://www.parliament.gh/mps?mp=193,2017-10-17 16:55:21.291418,PATRICK  BOAKYE-YIADOM,,AGOGO PRESBY HOSPITALMEDICAL OFFICER,MEDICAL OFFICER
https://www.parliament.gh/mps?mp=194,2017-10-17 16:55:23.277072,KWAKU AGYEMAN KWARTENG,,PARLIAMENT OF GHANAGHANA GOVT.,MEMBER OF PARLIAMENT
https://www.parliament.gh/mps?mp=197,2017-10-17 16:55:23.331410,AUGUSTINE COLLINS NTIM,,MINISTRY OF LOCAL GOVERNMENT MEMBER OF PARLIAMENT,DISTRICT CHIEF EXECUTIVE
https://www.parliament.gh/mps?mp=196,2017-10-17 16:55:23.415724,EMMANUEL AKWASI GYAMFI,,ODOTOBRI RURAL BANKADMINISTRATOR & LEAD FACILITATOR ,PROJECT OFFICER
https://www.parliament.gh/mps?mp=195,2017-10-17 16:55:23.516746,EDWIN NII LANTEY VANDERPUYE,,GHANA BROADCASTING CORPORATIONHEAD OF SPORTS ,DEPUTY HEAD OF OB' SPORTS 
https://www.parliament.gh/mps?mp=198,2017-10-17 16:55:27.117945,BEN ABDALLAH  BANDA,,SELF EMPLOYMENT,LEGAL PRACTITIONER
https://www.parliament.gh/mps?mp=199,2017-10-17 16:55:27.417319,KOJO VINCENT OPPONG NKRUMAH,,KULENDI AT LAW,LAWYER
https://www.parliament.gh/mps?mp=201,2017-10-17 16:55:27.672005,PATRICK YAW BOAMAH,,PARLIAMENT OF GHANAPARTNER,MEMBER OF PARLIAMENT
https://www.parliament.gh/mps?mp=202,2017-10-17 16:55:27.885627,FUSEINI  ISSAH,,ACE CAPITAL PARTNERSVICE PRESIDENT,CEO
https://www.parliament.gh/mps?mp=204,2017-10-17 16:55:53.712719,DANIEL  BOTWE,,GHANA COCOA BOARDDIRECTOR,COMPUTER PROGRAMMER
https://www.parliament.gh/mps?mp=205,2017-10-17 16:55:58.659641,ANTHONY AKOTO OSEI,,2009-to date ,MEMBER OF PARLIAMENT 
https://www.parliament.gh/mps?mp=206,2017-10-17 16:56:00.780231,BARBARA  OTENG-GYASI,,VIVO ENERGY GHANA LTD,HEAD OF LEGAL
https://www.parliament.gh/mps?mp=208,2017-10-17 16:56:01.271453,MASAWUD  MOHAMMED,,PARLIAMENT OF GHANADISTRICT CHIEF EXECUTIVE ,MEMBER OF PARLIAMENT
https://www.parliament.gh/mps?mp=207,2017-10-17 16:56:09.272639,KWABENA  DONKOR,,GOVERNMENT OF GHANACHAIRMAN,CABINET MINISTER
