data_source,scraped_time,name,organization_type,company_name,position,date_position
https://www.parliament.gh/mps?mp=60,2017-10-18 08:48:12.570368,KOFI  AMOAKOHENE,,CUSTOMER COMPANY LTD,CEO,1999-2016
https://www.parliament.gh/mps?mp=51,2017-10-18 08:48:12.763255,PATRICIA  APPIAGYEI,,GOVERNMENT OF GHANADEPUTY ASHANTI REGIONAL MINISTER,MEMBER OF PARLIAMENT,2013-2016
https://www.parliament.gh/mps?mp=65,2017-10-18 08:48:12.859680,GEORGE NENYI ANDAH,,SCANSCOM GHANACHIEF MARKETING OFFICER,CHIEF MARKETING OFFICER,2007-2010
https://www.parliament.gh/mps?mp=59,2017-10-18 08:48:13.204508,COLLINS  DAUDA,,GHANA EDUCATION SERVICEMEMBER OF PARLIAMENT,TEACHER,1983-1992
https://www.parliament.gh/mps?mp=49,2017-10-18 08:48:13.286635,ERNEST HENRY NORGBEY,,NADMOTEACHER,PROCUREMENT OFFICER,2009-2016
https://www.parliament.gh/mps?mp=55,2017-10-18 08:48:13.696294,EVANS BOBIE OPOKU,,AHAFO COMMUNITY BANK LTDCREDIT MANAGER,GENERAL MANAGER,2010-2016
https://www.parliament.gh/mps?mp=32,2017-10-18 08:48:14.901695,KWABENA  APPIAH-PINKRAH,,OFFICE OF PARLIAMENTM.D.,MEMBER,2005-2016
https://www.parliament.gh/mps?mp=57,2017-10-18 08:48:15.463054,THOMAS NYARKO AMPEM,,GOVERNMENT OF GHANAFINANCE DIRECTOR,DISTRICT CHIEF EXECUTIVE,2013-2016
https://www.parliament.gh/mps?mp=75,2017-10-18 08:48:15.996959,KWABENA  TWUM-NUAMAH,,HOLY FAMILY HOSPITAL,HOUSE OFFICER,2004-2004
https://www.parliament.gh/mps?mp=70,2017-10-18 08:48:16.414704,SAMUEL  AYEH-PAYE,,ACCRA METROPOLITAN ASSEMBLY,TRANSPORT MANAGER,1999-2000
https://www.parliament.gh/mps?mp=56,2017-10-18 08:48:16.459017,ERIC  OPOKU,,GHANA EDUCATION SERVICESOCIETY DEVELOPMENT SECRETARY,CLASSROOM TEACHER,1997-2000
https://www.parliament.gh/mps?mp=50,2017-10-18 08:48:17.422095,ANTHONY  EFFAH,,EXPRESS SAVINGS AND LOANSDIRECTOR,MANAGING DIRECTOR,2011-2013
https://www.parliament.gh/mps?mp=67,2017-10-18 08:48:17.478684,NASER TOURE MAHAMA,,OTA FOREX BUREAUCEO,CEO,2001-2003
